strategy,p_rsi_n,p_rsi_thresh,p_stop_pct,p_target_pct,p_max_hold,IS_CAGR,IS_Sharpe,IS_MDD,IS_PF,IS_N,IS_WR,OOS_CAGR,OOS_Sharpe,OOS_MDD,OOS_PF,OOS_N,OOS_WR,p_lookback,p_vol_mult,p_ret_thresh
RSIOversold,2.0,15.0,0.03,0.07,5,-0.02063008442333858,-0.10446119871497424,-0.253186974551755,0.9567331819942072,519,0.3930635838150289,0.2559790691382813,0.957131730005521,-0.2411874609071888,1.231403571065316,751,0.42609853528628494,,,
RSIOversold,2.0,15.0,0.03,0.07,7,-0.008392470438475463,-0.009344512497214255,-0.2844831846420116,0.9762688589181779,442,0.38687782805429866,0.20024532500275427,0.8080355704570648,-0.2768860726319027,1.1938160994698819,671,0.40238450074515647,,,
RSIOversold,2.0,15.0,0.03,0.1,3,-0.0914702309126938,-0.6587069817239626,-0.4951330712709514,0.8294504313227795,689,0.40493468795355586,0.2581364142253988,0.9362727727251238,-0.3167875659190523,1.2107729250405195,885,0.41129943502824856,,,
RSIOversold,2.0,15.0,0.03,0.1,5,-0.030928178214243096,-0.1793993347875508,-0.2983465390007193,0.9070153746964464,482,0.36721991701244816,0.30477925884048696,1.068666886106745,-0.28388251472137915,1.2738779044137387,665,0.39849624060150374,,,
RSIOversold,2.0,15.0,0.03,0.1,7,0.014115591802946525,0.17620361547587648,-0.25152585610580414,1.0468163113574485,391,0.38618925831202044,0.21791378077319834,0.8428728279177391,-0.3086598635459479,1.2177048894663853,574,0.35365853658536583,,,
RSIOversold,2.0,15.0,0.05,0.05,3,-0.03378734398554051,-0.18513962127643946,-0.3378547495381853,0.9248079124273997,657,0.4840182648401826,-0.01633961098783976,0.09398750789954745,-0.3755886821216601,1.0062793207580427,891,0.5028058361391695,,,
RSIOversold,2.0,15.0,0.05,0.05,5,-0.013905129593499876,-0.047599126379876386,-0.2587932509104287,0.9616569571051398,469,0.47547974413646055,0.10371779820800109,0.4996655330035339,-0.2873579966211932,1.0939316243988753,703,0.5490753911806543,,,
RSIOversold,2.0,15.0,0.05,0.05,7,0.003336589427021419,0.0902391833545038,-0.2672505824290906,1.0139819038354128,391,0.5140664961636828,0.1314569595433437,0.5947731510846684,-0.269567935527838,1.142234569735617,610,0.5540983606557377,,,
RSIOversold,2.0,15.0,0.05,0.07,3,-0.04533857691265164,-0.25877514202419266,-0.423783138028337,0.9098167221401962,633,0.4707740916271722,0.05423338824356816,0.33346785598858175,-0.30291982691152963,1.068790297175832,829,0.47285886610373945,,,
RSIOversold,2.0,15.0,0.05,0.07,5,0.022731812383934846,0.2369035381772924,-0.23730594900370494,1.0763384436036154,426,0.4812206572769953,0.2693409436304688,0.9711124361466958,-0.3076436806438676,1.2399682714925244,622,0.5048231511254019,,,
RSIOversold,2.0,15.0,0.05,0.07,7,0.026013454138461567,0.27119932482456865,-0.23840633500563135,1.0676653593095502,349,0.4785100286532951,0.11765369100708578,0.5543192285167556,-0.3243275942660999,1.138512410621335,523,0.4818355640535373,,,
RSIOversold,2.0,15.0,0.05,0.1,3,-0.034708610031174536,-0.19554469078024883,-0.3772233607314939,0.9092958069786056,604,0.45364238410596025,0.02887416013889821,0.25373874186486434,-0.33386329590553154,1.0506115679534969,770,0.45714285714285713,,,
RSIOversold,2.0,15.0,0.05,0.1,5,0.013618437870357658,0.16951240100816997,-0.2337563393463007,1.0406633404019472,401,0.4538653366583541,0.17271103669964583,0.6919096401287065,-0.346331860952676,1.1617897048065626,548,0.458029197080292,,,
RSIOversold,2.0,15.0,0.05,0.1,7,0.01824544815151441,0.20839013863072403,-0.18683316119689752,1.0864590833660563,311,0.4758842443729904,0.10723524879910484,0.5002629638021722,-0.31667178329933154,1.1352151131406425,465,0.42795698924731185,,,
RSIOversold,2.0,15.0,0.07,0.05,3,-0.03164581478084327,-0.15384357341614532,-0.33802628902574494,0.9275111058817376,632,0.5,-0.0029508022627536823,0.13949360308528067,-0.34602160988274044,1.0154463827922375,837,0.5221027479091995,,,
RSIOversold,2.0,15.0,0.07,0.05,5,-0.010377023432124322,-0.017762928350080937,-0.24854105712416596,0.9797533750875931,437,0.4988558352402746,0.14065251720915084,0.6147988122194136,-0.24686531215340946,1.1733335720713762,633,0.5908372827804107,,,
RSIOversold,2.0,15.0,0.07,0.05,7,-0.06045672598736851,-0.41423746199970535,-0.4087061926159249,0.8507808026292718,353,0.5127478753541076,0.13465890302493655,0.6062655624853801,-0.31442250062970967,1.1725372733069475,536,0.6119402985074627,,,
