code,n,corr_raw,corr_mcap
179900,1718,-0.03319741733093501,-0.033790123127653615
183300,1846,-0.35542425850124537,-0.35277071693313394
189300,1954,-0.0957147684034075,-0.10425798587414865
195940,770,-0.046670310773071606,-0.046913944907888736
199800,2243,-0.01074747084615302,-0.011308228730731458
200710,2405,-0.019917275779628783,-0.025710614180428942
203650,2417,0.02418244852205202,0.02219645777329472
204270,1126,-0.08894380959700016,-0.08902187446086197
211050,1112,0.027899204976757394,0.019438981625704094
213420,2370,-0.17425761246482432,-0.1805200471393965
214430,2252,-0.16091305425271324,-0.15894461561211284
222080,2167,-0.040729966963110764,-0.04295392014953684
225570,2037,0.08878990577795294,0.0915553724265084
230360,2000,-0.1725307901809781,-0.16695952658718763
232140,2027,-0.08325157292590356,-0.08948809323828266
241710,1946,-0.3347446873702262,-0.323546089248321
251970,1290,-0.3609343496812328,-0.36080515100160765
252990,827,-0.026417410670353487,-0.04104494067873209
253450,1682,0.05914055467740886,0.05743662372597632
253590,1553,-0.1400389868035373,-0.13855107697761662
254490,409,-0.050820333528448024,-0.05509004184282627
272290,1774,-0.07894031299074385,-0.07935308834949872
274090,1127,0.1146135962914067,0.11724287017368788
278280,1389,-0.0531943715808102,-0.04440943948039587
281740,1514,0.08550303619293509,0.07703991070729758
290550,1419,-0.09061778834917832,-0.08927194733975716
290650,1455,-0.19071232104680827,-0.19605638472968562
293490,995,0.17183749961437617,0.16944750544457216
295310,61,0.19071742926894997,0.18303257521480773
323280,1248,-0.14756964310951814,-0.14946417695845365
327260,1172,-0.07486188662096141,-0.08378041949741293
328130,537,-0.19217828441266888,-0.20997169329001594
330860,951,-0.07476724235644172,-0.07488542387410932
332570,1023,-0.2453887868575548,-0.2492798481818792
336260,1218,0.22313731773020373,0.22766520831042567
336570,772,-0.26457195117628357,-0.2615796717195734
340570,948,0.03277760781740509,0.02423295651846406
347700,867,0.06696098867826306,0.06442476142418203
348210,978,-0.10109999601123902,-0.10356659154301634
348340,466,0.08261806905995196,0.06796201506272703
348370,715,-0.1557413276412818,-0.13303421080829386
354320,304,-0.23879405280334587,-0.2451493260472592
356680,376,-0.03598402274318523,-0.03223933120032804
356860,932,-0.03058776042765271,-0.04150565731776773
358570,366,-0.31495838859060044,-0.3330473302599356
365340,532,-0.07147098041536593,-0.06806473970451939
368770,850,-0.062292906240893654,-0.0639884037168325
372320,216,-0.3806319239789001,-0.3760467148034562
376300,709,-0.21014638774496086,-0.21062455558610926
383310,821,0.17422882222160013,0.17029094458976818
388720,623,-0.07566284039218213,-0.08108584753385134
389470,454,0.04961231475970996,0.0441103736431787
389500,480,-0.2369061520791575,-0.2570069553542773
393890,489,-0.5027253457115681,-0.4826065870964404
394280,493,0.08391440333710654,0.11909453847417407
397030,532,-0.30918564912449037,-0.31985028609370675
399720,579,-0.08455472576408457,-0.05830000095667283
417200,193,0.11883213541800688,0.09684109515098112
420770,329,-0.3324926652665792,-0.3264374329973466
425040,413,-0.24650389352059243,-0.2593374291242618
425420,457,-0.14765625255749443,-0.16010489465772845
437730,127,0.19792761675367113,0.19039137335154718
445680,273,-0.2287895991286682,-0.16761501603942366
452280,205,0.044631136955349524,0.03362302647270955
458870,68,-0.39157980895741096,-0.43170168865815445
460930,163,0.1340204994298485,0.10606715420853755
